,0
0,0.0
1,0.16589613269341502
2,0.3271946967961522
3,0.479425538604203
4,0.618369803069737
5,0.7401768531960371
6,0.8414709848078965
7,0.9194449792537551
8,0.9719379013633127
9,0.9974949866040544
10,0.9954079577517649
11,0.9657346537574998
12,0.9092974268256817
13,0.8276603521259606
14,0.7230858817383246
15,0.5984721441039565
16,0.457272626635812
17,0.3034004673678561
18,0.1411200080598672
19,-0.02507138579516909
20,-0.19056796287548539
21,-0.35078322768961984
22,-0.5012770485883448
23,-0.6378787095168519
24,-0.7568024953079282
25,-0.85475260723884
26,-0.9290145012707619
27,-0.977530117665097
28,-0.9989549170979283
29,-0.9926951426001528
30,-0.9589242746631385
31,-0.8985782234807297
32,-0.81332939156758
33,-0.7055403255703919
34,-0.5781982417443089
35,-0.43483223962507717
36,-0.27941549819892586
37,-0.11625516506022966
38,0.050127009882172724
39,0.21511998808781552
40,0.37415123057121996
41,0.5228134191296795
42,0.6569865987187891
43,0.7729523559784831
44,0.8674968696188059
45,0.9379999767747389
46,0.9825077869863732
47,0.9997868314142212
48,0.9893582466233818
49,0.9515110455830011
50,0.8872941080946944
51,0.7984871126234903
52,0.6875512151130617
53,0.5575608416497293
54,0.4121184852417566
55,0.2552548679965177
56,0.0913172355547493
57,-0.0751511204618093
58,-0.2395367731303159
59,-0.3972840146039623
60,-0.5440211108893698
61,-0.6756814580578289
62,-0.7886162822232242
63,-0.87969575997167
64,-0.946395756838108
65,-0.9868677799998744
66,-0.9999902065507035
67,-0.9853993676385011
68,-0.9434996270154847
69,-0.8754521746884285
70,-0.78314284623659
71,-0.669129859637846
72,-0.5365729180004349
73,-0.3891456430143488
74,-0.23093376590116807
75,-0.06632189735120068
76,0.10012798554657276
77,0.26380296782476864
78,0.4201670368266409
79,0.5648867911601159
80,0.6939515345770562
81,0.803784426551621
82,0.8913416091820802
83,0.9541965632590084
84,0.9906073556948704
85,0.9995649146508786
86,0.9808209944866031
87,0.934895055524683
88,0.8630598679680195
89,0.7673062389358243
90,0.6502878401571168
91,0.5152476653414041
92,0.3659281553529311
93,0.2064674819377966
94,0.041284864348666135
95,-0.1250419028509371
96,-0.2879033166650653
97,-0.44278591129660777
98,-0.5853973422480746
99,-0.711785342369123
