,0
0,5.167980330510721
1,11.346218911432729
2,5.880501276289875
3,13.304836637120552
4,8.058899346850412
5,9.047902232645278
6,20.361792265423265
7,19.53055183501704
8,17.998346890664934
9,27.931982941352082
10,30.58981732045554
11,38.15747556864545
12,31.36066210196784
13,33.15922363195639
14,42.80079765384072
15,45.53287985819277
16,46.04724217698107
17,43.0277010301318
18,43.74072187754639
19,52.237354537931935
20,59.999926472420796
21,59.98063450511234
22,70.22274157993917
23,79.00528535742522
24,73.42935537076153
25,69.48194660456335
26,74.47272633099973
27,80.28643272568104
28,78.50892234239853
29,89.70378613331492
30,91.67772713897887
31,93.35237121654598
32,88.52158711893254
33,93.38080067912449
34,104.32498585925904
35,116.37451224759752
36,104.25490022599752
37,111.35570420523973
38,118.5072392487265
39,121.82110649063297
40,124.98088296805555
41,123.54627079182761
42,120.45011055462881
43,123.5461641668784
44,136.2767388475382
45,127.17293920619059
46,139.41199134116042
47,137.3651512341258
48,136.30689892913063
49,147.0155268485029
50,152.80515128613655
51,145.13786974402925
52,157.27292444301114
53,156.99824885416712
54,159.18993546993812
55,175.38406403429946
56,168.76032791538324
57,173.36499815590125
58,171.72406246088502
59,182.34390696845327
60,181.9938911011851
61,183.31479438725043
62,190.6493967047241
63,187.5078108418756
64,198.05304994837837
65,196.71589485871863
66,203.36246474684538
67,195.0552545403386
68,203.8797764294822
69,200.53262265730672
70,202.9095710295727
71,216.30315590527334
72,216.52276597404102
73,224.5071899565631
74,228.30430448091406
75,224.60038671128174
76,231.5969902139129
77,221.82176774898016
78,241.38710232828694
79,228.7744090673012
80,232.2507933387935
81,244.5395370205313
82,244.91523659442484
83,247.0983585568275
84,248.03825365779997
85,259.3129280443118
86,258.0841682270074
87,259.0853613555484
88,271.15503339559217
89,268.5103496594586
90,266.00829782734064
91,267.4075245166506
92,273.655713329628
93,275.34390014769286
94,278.8588452280985
95,302.11511388094414
96,293.7646308627961
97,289.36183270487135
98,295.7375950507084
99,303.20298695699137
